title,category,subscriber,view,video
낄낄상회,[취미/라이프],109만,2억4783만,165개
Coreaníssima 엘레나,[TV/방송],109만,6691만,145개
티캐스트 tcast,[TV/방송],109만,12억4421만,"9,107개"
Tooniverse-투니버스,[영화/만화/애니],109만,7억8420만,"4,714개"
ondo온도,[BJ/인물/연예인],109만,1억0487만,144개
UPVOTE Entertainment,[음악/댄스/가수],109만,2억5295만,"1,298개"
선미 SUNMI,[음악/댄스/가수],108만,1억5785만,116개
TJ KARAOKE TJ 노래방 공식 유튜브채널,[음악/댄스/가수],108만,11억4157만,"53,763개"
14F 일사에프,[TV/방송],108만,2억7576만,"1,822개"
MOVE Dance Studio 무브댄스학원,[음악/댄스/가수],108만,2억0892만,"2,002개"
야식이,[음식/요리/레시피],107만,3억6031만,"1,141개"
PLEDIS ENTERTAINMENT,[음악/댄스/가수],107만,2억7003만,246개
오킹TV,[TV/방송],107만,3억4407만,"1,049개"
sankok esl,[TV/방송],107만,2억8064만,102개
야식이,[음식/요리/레시피],107만,3억6031만,"1,141개"
Squash Clay 쪼물쪼물 클레이,[취미/라이프],107만,1억7259만,438개
Sibongtv 시봉tv,[BJ/인물/연예인],107만,6072만,194개
haha ha,[애완/반려동물],107만,3억2475만,363개
seemile Korean 씨마일 한국어,[교육/강의],106만,8391만,"1,095개"
2pm,[음악/댄스/가수],106만,3억2019만,374개
V LIVE,[TV/방송],106만,6억2543만,"2,531개"
SK telecom,[TV/방송],106만,8억3389만,"2,259개"
Dingo K-Drama,[TV/방송],106만,1억8665만,402개
마이린 TV,[키즈/어린이],106만,6억8078만,"2,060개"
릴카,[게임],106만,3억3842만,816개
woojoo우주,[키즈/어린이],105만,3억3241만,85개
Dreamcatcher official,[음악/댄스/가수],105만,2억2622만,318개
YGTAEYANG,[음악/댄스/가수],105만,5437만,26개
빅마블,[음악/댄스/가수],105만,928만,14개
얌무YAMMoo,[음식/요리/레시피],105만,1억9596만,588개
rappeler하쁠리,[취미/라이프],105만,3억9161만,669개
핫도그TV,[음식/요리/레시피],105만,6억7357만,809개
KONNECT Entertainment,[미분류],104만,1억2081만,87개
CLC 씨엘씨 (Official YouTube Channel),[음악/댄스/가수],104만,1억9779만,184개
CNBLUE (씨엔블루),[음악/댄스/가수],104만,2억0365만,177개
혜안,[게임],104만,3억1564만,651개
써니채널 Sunny's Channel,[패션/미용],104만,9189만,153개
효기심,[취미/라이프],104만,1억2708만,154개
소근커플 S.K.Couple,[BJ/인물/연예인],104만,3억4441만,369개
